Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
2.338016529,1997,Jacque Vaughn,27,22.33333333,1997,Guard,185,190,0.973684211,26,3,7.1,0.427,2.3,5,0.466,0.7,2.1,0.333,3.4,4.3,0.779,2.4,6.2,1.8,0.2,10.2,7.94,0.553,0.476,0.292,0.611,1.4,1.7,3.1
0,1997,James Cotton,32,21.5,1997,Guard,196,220,0.890909091,27,7.3,16.5,0.439,4.9,10.2,0.484,2.3,6.3,0.368,6.6,8,0.833,5,2.6,1.3,0.3,23.5,-1.22,0.578,0.51,0.383,0.482,3.6,0.9,4.5
0,1997,James Collins,36,23.58333333,1997,Guard,193,196,0.984693878,31,5.9,12.8,0.458,3.5,6.3,0.552,2.4,6.5,0.369,2.4,3.6,0.67,5.1,2.8,1.8,0.5,16.6,9.73,0.571,0.553,0.511,0.282,2.9,2.1,5
0.62278481,1997,Anthony Johnson,39,22.66666667,1997,Guard,190,190,1,32,4.9,9.8,0.505,4,7.5,0.536,0.9,2.3,0.405,3.1,3.9,0.794,3.5,7.2,1.6,0.3,13.9,-6.85,0.598,0.553,0.236,0.403,3.1,2.3,5.4
0,1997,God Shammgod,45,21.16666667,1997,Guard,183,169,1.082840237,36,3.5,8,0.441,3.2,6.5,0.494,0.3,1.5,0.208,3.5,5.2,0.665,2.3,6.6,2.4,0.1,10.8,8.32,0.517,0.46,0.184,0.653,1.5,2,3.6
3.332620321,1997,Alvin Williams,47,22.83333333,1997,Guard,196,185,1.059459459,34,5.8,12.1,0.481,4,7.1,0.56,1.9,5,0.368,3.6,4.8,0.742,5,3.8,1.8,0.4,17.1,9.45,0.593,0.557,0.415,0.396,3.7,1.7,5.5
0.5125,1997,DeJuan Wheat,51,23.66666667,1997,Guard,183,165,1.109090909,35,5.5,13,0.425,2.7,5.2,0.527,2.8,7.8,0.357,3.5,4.8,0.743,2.2,4.3,1.9,0.1,17.3,7.76,0.569,0.532,0.599,0.368,3.3,1.2,4.6
8.842396313,1998,Mike Bibby,2,20.08333333,1998,Guard,185,190,0.973684211,35,6,12.9,0.464,3.8,7.2,0.526,2.2,5.7,0.387,3.1,4.1,0.755,3,5.7,2.4,0.2,17.2,8.38,0.582,0.55,0.442,0.318,3.2,2.2,5.3
2.279820628,1998,Jason Williams,7,22.58333333,1998,Guard,185,190,0.973684211,20,5.6,12.7,0.441,2.9,6,0.483,2.7,6.7,0.403,3.2,3.8,0.84,3,6.7,2.7,0.2,17.1,6.42,0.589,0.547,0.528,0.295,2.1,0.7,2.8
6.594708995,1998,Larry Hughes,8,19.41666667,1998,Guard,196,184,1.065217391,32,7,16.9,0.415,5.7,12.3,0.461,1.3,4.5,0.29,5.6,8.1,0.692,5.1,2.4,2.2,0.4,20.9,5.51,0.505,0.454,0.269,0.481,1.8,2.5,4.3
