Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
0,1997,Keith Booth,28,22.66666667,1997,Forward,198,226,0.876106195,32,6.4,13.7,0.469,6.4,13,0.49,0,0.7,0,6.7,9.3,0.717,7.9,2.6,2,0.6,19.5,9.3,0.54,0.47,0.048,0.68,2.7,2.8,5.5
0,1997,Charles O'Bannon,31,22.33333333,1997,Forward,196,209,0.937799043,32,6.5,11.8,0.551,5.7,9.4,0.601,0.8,2.3,0.347,3.9,4.9,0.791,6.9,2.4,1.1,0.7,17.7,10.29,0.626,0.585,0.199,0.42,3.9,1,4.9
0,1997,James Cotton,32,21.5,1997,Guard,196,220,0.890909091,27,7.3,16.5,0.439,4.9,10.2,0.484,2.3,6.3,0.368,6.6,8,0.833,5,2.6,1.3,0.3,23.5,-1.22,0.578,0.51,0.383,0.482,3.6,0.9,4.5
0,1997,Bubba Wells,34,22.91666667,1997,Forward,196,230,0.852173913,19,11.5,22.1,0.52,9,16.2,0.555,2.5,5.8,0.423,6.3,8.7,0.727,7.1,2.2,1.3,0.6,31.7,-7.31,0.606,0.576,0.265,0.394,3.9,0.8,4.7
0,1997,James Collins,36,23.58333333,1997,Guard,193,196,0.984693878,31,5.9,12.8,0.458,3.5,6.3,0.552,2.4,6.5,0.369,2.4,3.6,0.67,5.1,2.8,1.8,0.5,16.6,9.73,0.571,0.553,0.511,0.282,2.9,2.1,5
4.441666667,1997,Marc Jackson,37,22.41666667,1997,Forward,208,270,0.77037037,31,5.6,11.8,0.478,5.6,11.6,0.481,0.1,0.2,0,4.8,6.2,0.767,9,1.2,0.9,0.7,16.1,9.04,0.546,0.481,0.016,0.527,2.5,3.5,6.1
0,1997,Jerald Honeycutt,38,22.66666667,1997,Forward,206,245,0.840816327,31,6.8,15.8,0.432,4.6,9.3,0.502,2.2,6.6,0.333,4.1,5.7,0.708,6.5,4.2,2.4,1.5,19.9,3,0.537,0.501,0.415,0.363,2.6,2.3,4.9
0,1997,Anthony Johnson,39,22.66666667,1997,Guard,190,190,1,32,4.9,9.8,0.505,4,7.5,0.536,0.9,2.3,0.405,3.1,3.9,0.794,3.5,7.2,1.6,0.3,13.9,-6.85,0.598,0.553,0.236,0.403,3.1,2.3,5.4
0,1997,Jason Lawson,41,22.75,1997,Center,211,240,0.879166667,34,4.1,6.8,0.604,4.1,6.8,0.604,0,0,0,4.3,5.7,0.751,7.6,1.5,1.1,3.1,12.4,9.45,0.657,0.604,0,0.839,3.6,3,6.6
0,1997,Cedric Henderson,44,22.25,1997,Forward,201,215,0.934883721,31,5.9,14.2,0.417,5.1,11.2,0.46,0.8,3.1,0.263,3.4,4.9,0.689,6.5,1.4,1.9,1,16,6.46,0.485,0.446,0.215,0.342,0.8,2.9,3.7
0,1997,God Shammgod,45,21.16666667,1997,Guard,183,169,1.082840237,36,3.5,8,0.441,3.2,6.5,0.494,0.3,1.5,0.208,3.5,5.2,0.665,2.3,6.6,2.4,0.1,10.8,8.32,0.517,0.46,0.184,0.653,1.5,2,3.6
0,1997,Eric Washington,46,23.25,1997,Forward,193,190,1.015789474,30,5.6,13,0.429,3.1,6.3,0.484,2.5,6.6,0.377,2.5,3.2,0.773,6.3,1.2,1.5,0.8,16.1,6.04,0.556,0.526,0.512,0.249,2.5,2.7,5.2
3.332620321,1997,Alvin Williams,47,22.83333333,1997,Guard,196,185,1.059459459,34,5.8,12.1,0.481,4,7.1,0.56,1.9,5,0.368,3.6,4.8,0.742,5,3.8,1.8,0.4,17.1,9.45,0.593,0.557,0.415,0.396,3.7,1.7,5.5
0,1997,Chris Crawford,50,22.08333333,1997,Forward,206,235,0.876595745,31,5.3,11.4,0.469,4.3,8.6,0.496,1.1,2.8,0.384,3.2,4.2,0.769,5.3,1.5,1.1,0.7,14.9,3.18,0.56,0.516,0.244,0.369,2.6,2.5,5.2
0,1997,DeJuan Wheat,51,23.66666667,1997,Guard,183,165,1.109090909,35,5.5,13,0.425,2.7,5.2,0.527,2.8,7.8,0.357,3.5,4.8,0.743,2.2,4.3,1.9,0.1,17.3,7.76,0.569,0.532,0.599,0.368,3.3,1.2,4.6
1.974074074,1997,Mark Blount,54,21.58333333,1997,Center,213,230,0.926086957,29,3.5,7.1,0.488,3.4,7.1,0.488,0,0.1,0,2.1,4.1,0.508,4.1,1,0.7,2.7,9.1,8.81,0.5,0.49,0.01,0.58,0.6,3,3.6
0,1998,Michael Olowokandi,1,23.16666667,1998,Center,213,269,0.791821561,33,9.4,15.4,0.609,9.4,15.4,0.609,0,0,0,3.5,7.1,0.485,11.2,0.8,0.3,2.9,22.2,-0.56,0.591,0.609,0,0.462,4.6,3.5,8.1
8.842396313,1998,Mike Bibby,2,20.08333333,1998,Guard,185,190,0.973684211,35,6,12.9,0.464,3.8,7.2,0.526,2.2,5.7,0.387,3.1,4.1,0.755,3,5.7,2.4,0.2,17.2,8.38,0.582,0.55,0.442,0.318,3.2,2.2,5.3
6.924444444,1998,Raef LaFrentz,3,22.08333333,1998,Forward,211,240,0.879166667,30,7.7,14.1,0.548,7.5,13.5,0.552,0.3,0.6,0,4,5.5,0.738,11.4,1,0.9,1.5,19.8,6.54,0.592,0.558,0.04,0.388,3.4,3.6,7
7.2,1998,Antawn Jamison,4,22,1998,Forward,206,222,0.927927928,37,8.5,14.8,0.579,8.4,14.4,0.584,0.2,0.4,0,5,7.5,0.667,10.5,0.8,0.8,0.8,22.2,10.38,0.607,0.584,0.027,0.505,5.3,3,8.3
11.10224719,1998,Vince Carter,5,21.41666667,1998,Forward,201,215,0.934883721,38,5.9,10,0.591,4.7,7.2,0.662,1.2,2.8,0.411,2.6,3.9,0.68,5.1,1.9,1.2,0.9,15.6,10.38,0.659,0.649,0.282,0.388,4.8,2.6,7.4
2.488557214,1998,Robert Traylor,6,21.33333333,1998,Center,203,284,0.714788732,34,6.6,11.4,0.579,6.6,11.4,0.58,0,0,0,3.1,4.8,0.642,10.1,2.6,1.3,1.4,16.2,9.64,0.595,0.579,0.003,0.419,3.4,2.7,6.1
2.279820628,1998,Jason Williams,7,22.58333333,1998,Guard,185,190,0.973684211,20,5.6,12.7,0.441,2.9,6,0.483,2.7,6.7,0.403,3.2,3.8,0.84,3,6.7,2.7,0.2,17.1,6.42,0.589,0.547,0.528,0.295,2.1,0.7,2.8
6.594708995,1998,Larry Hughes,8,19.41666667,1998,Guard,196,184,1.065217391,32,7,16.9,0.415,5.7,12.3,0.461,1.3,4.5,0.29,5.6,8.1,0.692,5.1,2.4,2.2,0.4,20.9,5.51,0.505,0.454,0.269,0.481,1.8,2.5,4.3
10.24149378,1998,Paul Pierce,10,20.66666667,1998,Forward,198,230,0.860869565,38,7.6,14.7,0.513,6.5,11.6,0.56,1.1,3.1,0.339,4.3,5.8,0.738,6.7,2.6,1.1,1.1,20.4,6.54,0.585,0.549,0.211,0.395,4.3,3.5,7.9
5.820535714,1998,Bonzi Wells,11,21.75,1998,Forward,196,210,0.933333333,29,8.2,16.8,0.49,6.4,11.9,0.538,1.8,4.9,0.373,4.6,6.7,0.689,6.3,3.3,3.6,0.7,22.8,0.68,0.573,0.544,0.292,0.397,3.5,3.5,7.1
0,1998,Michael Doleac,12,21,1998,Center,211,262,0.805343511,32,5.2,10.6,0.488,4.8,9.6,0.497,0.4,1,0.406,5.4,6.7,0.805,7.1,0.5,0.4,1,16.1,4.87,0.586,0.507,0.095,0.636,3.4,2.6,6
4.454320988,1998,Keon Clark,13,23.16666667,1998,Center,211,220,0.959090909,10,5.7,10.4,0.548,5.3,9.6,0.552,0.4,0.8,0,3,4.5,0.667,3,1.9,0.2,2.6,14.8,5.31,0.59,0.567,0.077,0.433,1,1,2
